author,date,time,favorites,hashtags,mentions,permalink,replies,retweets,term,text,tweet_id,username
25073877,22-04-2015,16:35:00,217,#,,https://twitter.com/realDonaldTrump/status/590977355662946304,37,149,realDonaldTrump,Congratulations to the Republicans in Congress. You are the only people Obama can out negotiate. # TimeToGetTough,_590977355662946304,realDonaldTrump
25073877,22-04-2015,16:30:00,121,,@,https://twitter.com/realDonaldTrump/status/590975983034990592,38,52,realDonaldTrump,I'm getting The Commandant's Leadership Award from the U.S.Marines tonight at The Waldorf Astoria - a great honor! @ BretBaier,_590975983034990592,realDonaldTrump
25073877,22-04-2015,16:19:00,23,,@ @ @ @,https://twitter.com/realDonaldTrump/status/590973253738442752,12,7,realDonaldTrump,""" @ rwerhle: @ JonahNRO @ realDonaldTrump @ NRO He's a brilliant businessman - VERY TRUE!",_590973253738442752,realDonaldTrump
25073877,22-04-2015,16:03:00,16,,@ @ @,https://twitter.com/realDonaldTrump/status/590969172689080320,3,9,realDonaldTrump,Via @ KingwoodNews by @ JayRJordan:: “ @ TXPatriotsPAC gives public a chance to hear Trump speak”http://www.yourhoustonnews.com/kingwood/news/patriots-pac-gives-public-a-chance-to-hear-trump-speak/article_9b8311b2-eb66-5b86-8b9a-84cd0b2c6e09.html …,_590969172689080320,realDonaldTrump
25073877,22-04-2015,15:48:00,18,#JK507oKDvjW31S7m,@ @ @TurnberryBuzz,https://twitter.com/realDonaldTrump/status/590965502027104256,7,11,realDonaldTrump,Via @ GolfMonthly by @ jake0reilly: “Trump to build five new holes at @TurnberryBuzz”http://www.golf-monthly.co.uk/news/tour-news/trump-to-build-five-new-holes-at-turnberry-70001#JK507oKDvjW31S7m.99 …,_590965502027104256,realDonaldTrump
25073877,22-04-2015,15:36:00,32,,@,https://twitter.com/realDonaldTrump/status/590962367997050880,13,11,realDonaldTrump,Looking forward to keynoting @ ChesterfieldGOP Lincoln-Reagan Gala this Friday at The Country Club at The Highlands. Sold out record crowd!,_590962367997050880,realDonaldTrump
25073877,22-04-2015,13:49:00,61,#,,https://twitter.com/realDonaldTrump/status/590935439105794049,13,42,realDonaldTrump,# MakeAmericaGreatAgain http://on.fb.me/1zMGDu5,_590935439105794049,realDonaldTrump
25073877,22-04-2015,10:01:00,32,# #view,,https://twitter.com/realDonaldTrump/status/590878204153483264,15,16,realDonaldTrump,Ailsa Course changes: # TrumpTurnberry What a beautiful place!http://www.bing.com/videos/search?q=trump+turnberry+ailsa+course+video&FORM=VIRE11#view=detail&mid=B444E155711257C63C7EB444E155711257C63C7E …,_590878204153483264,realDonaldTrump
25073877,23-04-2015,17:54:00,51,#,,https://twitter.com/realDonaldTrump/status/591359471047335937,8,19,realDonaldTrump,# TBT With Steven Spielberg in the old days- a great guy! http://bit.ly/1yUn5ZE,_591359471047335937,realDonaldTrump
25073877,23-04-2015,15:24:00,173,,@,https://twitter.com/realDonaldTrump/status/591321669416923136,32,174,realDonaldTrump,"“Talent wins games, but teamwork and intelligence wins championships.” – Michael Jordan @ Jumpman23",_591321669416923136,realDonaldTrump
25073877,23-04-2015,14:30:00,353,,,https://twitter.com/realDonaldTrump/status/591308288739962881,68,254,realDonaldTrump,"It is time for DC to protect the American worker, not grant amnesty to illegals. Let’s Make America Great Again!https://www.donaldjtrump.com/",_591308288739962881,realDonaldTrump
25073877,23-04-2015,14:08:00,42,,@ @,https://twitter.com/realDonaldTrump/status/591302699347488770,14,16,realDonaldTrump,""" @ twincity1982 @ realDonaldTrump Please run for President, sir- America needs your leadership !!""",_591302699347488770,realDonaldTrump
25073877,23-04-2015,13:55:00,433,,,https://twitter.com/realDonaldTrump/status/591299410702819328,62,378,realDonaldTrump,Why are the Republicans giving Obama fast track authority for TPP and the Iran agreement?! Obama gets more from the GOP than his own party.,_591299410702819328,realDonaldTrump
25073877,23-04-2015,13:22:00,108,,,https://twitter.com/realDonaldTrump/status/591291012091351040,38,90,realDonaldTrump,"Fact – while Jeb was governor & Rubio was House Majority Leader, Florida’s debt more than doubled. Conservatives?",_591291012091351040,realDonaldTrump
